iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,country,region,case_fatality_rate,death_rate,deaths_per_100k,cases_per_100k,vaccination_rate,fully_vaccinated_rate,7_day_cases_avg,14_day_cases_avg,30_day_cases_avg,7_day_deaths_avg,14_day_deaths_avg,30_day_deaths_avg,daily_growth_rate,weekly_growth_rate,monthly_growth_rate
BRA,South America,Brazil,2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,25.04,33.5,8.55,5.06,14103.45,3.4,177.96,8.11,10.1,17.9,,2.2,75.88,0.76,215313504.0,,,,,Brazil,South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,South America,Brazil,2020-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,0.0,25.04,33.5,8.55,5.06,14103.45,3.4,177.96,8.11,10.1,17.9,,2.2,75.88,0.76,215313504.0,,,,,Brazil,South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,South America,Brazil,2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,5.56,25.04,33.5,8.55,5.06,14103.45,3.4,177.96,8.11,10.1,17.9,,2.2,75.88,0.76,215313504.0,,,,,Brazil,South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,South America,Brazil,2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,5.56,25.04,33.5,8.55,5.06,14103.45,3.4,177.96,8.11,10.1,17.9,,2.2,75.88,0.76,215313504.0,,,,,Brazil,South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,South America,Brazil,2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,5.56,25.04,33.5,8.55,5.06,14103.45,3.4,177.96,8.11,10.1,17.9,,2.2,75.88,0.76,215313504.0,,,,,Brazil,South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,South America,Brazil,2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,5.56,25.04,33.5,8.55,5.06,14103.45,3.4,177.96,8.11,10.1,17.9,,2.2,75.88,0.76,215313504.0,,,,,Brazil,South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,South America,Brazil,2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,5.56,25.04,33.5,8.55,5.06,14103.45,3.4,177.96,8.11,10.1,17.9,,2.2,75.88,0.76,215313504.0,,,,,Brazil,South America,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,South America,Brazil,2020-03-15,84.0,71.0,10.14,0.0,0.0,0.0,0.4,0.34,0.05,0.0,0.0,0.0,2.34,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,42.13,25.04,33.5,8.55,5.06,14103.45,3.4,177.96,8.11,10.1,17.9,,2.2,75.88,0.76,215313504.0,,,,,Brazil,South America,0.0,0.0,0.0,0.039,0.0,0.0,10.14,5.93,2.8,0.0,0.0,0.0,492.98,492.98,0.0
BRA,South America,Brazil,2020-03-30,3417.0,0.0,359.0,92.0,0.0,11.57,16.25,0.0,1.71,0.44,0.0,0.06,2.03,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,74.54,25.04,33.5,8.55,5.06,14103.45,3.4,177.96,8.11,10.1,17.9,,2.2,75.88,0.76,215313504.0,,,,,Brazil,South America,2.6924,0.0,0.0427,1.587,0.0,0.0,359.0,238.07,113.9,11.57,6.57,3.07,0.0,206.47,0.0
BRA,South America,Brazil,2020-04-06,9056.0,0.0,805.57,359.0,0.0,38.14,43.06,0.0,3.83,1.71,0.0,0.18,1.83,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,74.54,25.04,33.5,8.55,5.06,14103.45,3.4,177.96,8.11,10.1,17.9,,2.2,75.88,0.76,215313504.0,,,,,Brazil,South America,3.9642,0.0002,0.1667,4.206,0.0,0.0,805.57,582.29,301.83,38.14,24.86,11.97,0.0,124.39,575307.14
